,UserID,movieID and rating
13,14,"[(116, 4.1461328903421775), (1939, 4.13710388103494), (3038, 4.131074757577411), (7116, 4.123498672716914), (26587, 4.121729991888466), (8132, 4.120433051832335), (2924, 4.098488196364638), (26729, 4.085753266438222), (3030, 4.084594265970987), (3310, 4.082715133245624)]"
14,15,"[(116, 3.4435791089956513), (5114, 3.3929024990152503), (2924, 3.376796673601365), (3038, 3.3725768004395915), (1939, 3.3671580628022), (8132, 3.3665106253543295), (7116, 3.364147286633378), (1948, 3.3400549291811696), (73290, 3.3271413516885153), (905, 3.317967842412227)]"
15,16,"[(5114, 4.753587327870009), (116, 4.742228513266455), (116897, 4.733903385151867), (1939, 4.730469401071635), (73290, 4.721613700211891), (8132, 4.704049573350393), (3038, 4.699724235672514), (858, 4.692204955883167), (3310, 4.690182269419647), (3030, 4.684089667019232)]"
16,17,"[(116897, 4.355820855085702), (5114, 4.35126394371642), (73290, 4.350756845442019), (116, 4.329499271177641), (2924, 4.318785401804093), (3038, 4.315352414422363), (8132, 4.3132573497264985), (1939, 4.31098678137301), (6669, 4.300009479040248), (26587, 4.267043535640551)]"
17,18,"[(116, 4.349397295856481), (5114, 4.287154674454167), (1939, 4.2835607491828345), (3038, 4.282679647479102), (73290, 4.273073912614028), (116897, 4.266593422213169), (2924, 4.256616251127584), (8132, 4.254362634261353), (7116, 4.247983852189364), (858, 4.2462017808213535)]"
18,19,"[(73290, 4.345529588676152), (116, 4.341128690305945), (5114, 4.325308468603126), (1939, 4.324986685635068), (116897, 4.305548526209543), (3038, 4.301916613754523), (7116, 4.2977751131982425), (8132, 4.296853802002253), (2924, 4.295905662331258), (3310, 4.289236857449835)]"
19,20,"[(5114, 4.117596551711498), (3038, 4.063536089268245), (73290, 4.039652323836312), (7116, 4.0379875169803965), (8132, 4.0368851050387935), (116, 4.029748497913185), (3310, 4.02072250274563), (116897, 4.005630990442654), (1939, 4.003244105685214), (2924, 3.9917805346866504)]"
20,21,"[(116, 4.281285243895536), (5114, 4.275151580679783), (73290, 4.256244096095093), (1939, 4.25603080164327), (3038, 4.248448138887777), (116897, 4.2444756337190235), (7116, 4.242659857663665), (8132, 4.23599481502905), (2924, 4.232371676238349), (3310, 4.215597835303548)]"
21,22,"[(116, 4.288165263068494), (5114, 4.251178146757454), (1939, 4.248254397917055), (73290, 4.242677873610631), (3038, 4.234068484232113), (7116, 4.229493926224273), (8132, 4.224383017553124), (116897, 4.219284893801304), (2924, 4.214710688410555), (3030, 4.186791479667789)]"
22,23,"[(116, 4.315277582848426), (116897, 4.292149880058554), (3038, 4.291333253457084), (1939, 4.28538367532332), (73290, 4.281713541189524), (8132, 4.273034429400953), (2924, 4.258549509131274), (7116, 4.258151244062256), (1948, 4.232858305603167), (3030, 4.228378661699682)]"
23,24,"[(5114, 4.48110628903788), (116, 4.477235500644805), (3038, 4.470343285880948), (7116, 4.469791017510522), (1939, 4.459695567864237), (8132, 4.455616581154474), (73290, 4.452036038773551), (2924, 4.4344746030322675), (116897, 4.4170871520974275), (858, 4.416094902787991)]"
24,25,"[(116, 4.201380471960494), (1939, 4.1708536119522215), (3030, 4.1528862060432195), (26729, 4.144592356553938), (2924, 4.131458757573418), (3038, 4.126531048568174), (8132, 4.11765308262456), (116897, 4.117030745260263), (5114, 4.101260980800704), (858, 4.079579014594655)]"
25,26,"[(5114, 4.211192968508222), (116, 4.176835128891687), (3038, 4.163924098452275), (8132, 4.163473671810597), (1939, 4.1566433036503945), (73290, 4.152391356224105), (2924, 4.142178399955409), (7116, 4.13291917514798), (3310, 4.119285458574581), (1948, 4.116359626686865)]"
26,27,"[(5114, 4.501601396852611), (8132, 4.4446674879164005), (116, 4.4303609102668915), (3038, 4.411099697101844), (73290, 4.391488117409811), (1939, 4.385804862253126), (2924, 4.385613028915957), (858, 4.378192776020548), (7116, 4.367229741147588), (116897, 4.356889035166418)]"
27,28,"[(3038, 4.7460363174348625), (116, 4.737043698202437), (5114, 4.722708588317713), (73290, 4.71848530617323), (7116, 4.708487143606999), (8132, 4.699032226595021), (1939, 4.695590201979485), (116897, 4.688642992480325), (2924, 4.6863950502803275), (858, 4.67781709136552)]"
28,29,"[(5114, 4.089800069901482), (8132, 4.041453697844592), (26729, 4.02936509052818), (2924, 4.025811678064396), (8264, 4.014014005831637), (116897, 4.002956834633287), (98491, 4.000073197903686), (32898, 3.999212398231401), (858, 3.992554086092567), (7669, 3.9826409345436873)]"
29,30,"[(5114, 4.6081190932787806), (116, 4.590143747955773), (73290, 4.578758921124497), (1939, 4.5723692793168045), (7116, 4.562242085930185), (2924, 4.554204582153415), (8132, 4.551138446650288), (116897, 4.530305011083267), (3310, 4.519994041709158), (1948, 4.511764599519074)]"
30,31,"[(5114, 4.715927130929586), (116, 4.7105456451011465), (73290, 4.696346170609951), (3038, 4.694899771309359), (8132, 4.676964544432588), (1939, 4.670725887125545), (2924, 4.669691582751886), (7116, 4.655813001128688), (116897, 4.6547867591063765), (3310, 4.637305754322851)]"
31,32,"[(5114, 4.657502990900571), (116, 4.644640577327706), (1939, 4.631697064364544), (116897, 4.620155681296481), (73290, 4.614813162352777), (2924, 4.61448246623674), (7116, 4.613023338569272), (8132, 4.611924562800298), (3038, 4.604820488845715), (858, 4.590388236772626)]"
32,33,"[(5114, 4.393280274264167), (116, 4.344219079250631), (7116, 4.34371746924024), (2924, 4.3090090575760644), (116897, 4.308003963741381), (3038, 4.299415286836507), (26729, 4.296095714889306), (8132, 4.292284236946119), (1939, 4.288021302227151), (8264, 4.285191809979311)]"
33,34,"[(116, 4.541891819447197), (73290, 4.529376946894275), (5114, 4.526141894023452), (1939, 4.505652313723743), (8132, 4.495192106174431), (116897, 4.494792618612336), (3038, 4.4865114810229265), (2924, 4.484998220986358), (7116, 4.4795067418205035), (3030, 4.469536341736069)]"
34,35,"[(5114, 3.511678421255179), (116, 3.4601870204644043), (3030, 3.4425811177901524), (1939, 3.4291830996225903), (77658, 3.4140389683282635), (7116, 3.413297397395318), (26729, 3.4128180292030232), (3310, 3.4097553077954985), (1948, 3.4093261083797617), (7802, 3.4001292495882414)]"
35,36,"[(116, 4.402004550790742), (5114, 4.387670002121903), (73290, 4.378188007183446), (1939, 4.369387232745854), (3038, 4.368872902700172), (7116, 4.364303886350474), (8132, 4.357117552051494), (2924, 4.3515049871314355), (116897, 4.3505171158617175), (858, 4.338700016320953)]"
36,37,"[(73290, 4.825476134864496), (5114, 4.797481737586494), (116, 4.7783039115334), (1939, 4.749726975587734), (3038, 4.73454810649283), (3030, 4.728994280608786), (116897, 4.721825900445776), (8132, 4.719964167328506), (7116, 4.718737147105819), (1948, 4.714113329953467)]"
37,38,"[(5114, 4.821325562293052), (116, 4.803227191395601), (73290, 4.79366902763481), (7116, 4.779262274417635), (1939, 4.7779750628815565), (3038, 4.7745681976377625), (116897, 4.771450565673266), (8132, 4.766654502906082), (2924, 4.766124307994734), (3310, 4.759489374766523)]"
38,39,"[(3030, 4.680719862058454), (5114, 4.674379405905868), (116, 4.672330892215271), (8132, 4.672266350737459), (73290, 4.669490234451721), (1939, 4.664032514270466), (3310, 4.652544621910068), (116897, 4.651674886959955), (2924, 4.6514264011155175), (858, 4.637359424142845)]"
39,40,"[(116, 4.90952634123934), (5114, 4.9056569442772755), (73290, 4.883933414334454), (3038, 4.876228115677468), (1939, 4.862772440741544), (2924, 4.84955823336591), (116897, 4.847668202051362), (8132, 4.839357675868194), (858, 4.836698896443521), (7116, 4.834762961708489)]"
40,41,"[(5114, 4.839842458671312), (116, 4.816304855574221), (73290, 4.8153682353374085), (1939, 4.799747380139331), (3038, 4.796864922656197), (116897, 4.784612563833157), (8132, 4.78078233526436), (2924, 4.775004591070649), (7116, 4.772805686826845), (858, 4.7622154325434085)]"
41,42,"[(116, 4.541783685032128), (5114, 4.5162620923666745), (73290, 4.509147643100608), (8132, 4.4900865831175665), (2924, 4.4843439428536955), (7116, 4.483132399330297), (1939, 4.476892636198029), (116897, 4.474167564410432), (3038, 4.473187960065533), (858, 4.471875755592848)]"
42,43,"[(5114, 3.9595709801522574), (3038, 3.9450672295034854), (7116, 3.945039832663299), (116, 3.936629157856313), (73290, 3.9171698868089435), (858, 3.903761912776462), (3310, 3.902260567525298), (1939, 3.900877296561814), (8132, 3.90060780376066), (1948, 3.888002654782873)]"
43,44,"[(5114, 4.3662306627300564), (3038, 4.331059952907462), (116, 4.330788649999975), (1939, 4.32832924817032), (73290, 4.306645175713055), (116897, 4.281922756489026), (3310, 4.26913757397303), (858, 4.262037373858994), (8132, 4.255323841483735), (26587, 4.2546693169183)]"
44,45,"[(3030, 4.349584125952037), (116, 4.314778496441052), (1939, 4.2867514803512465), (2924, 4.281648370979936), (116897, 4.273080552294331), (7116, 4.241955429194668), (858, 4.23484190132854), (3038, 4.234194182244913), (8132, 4.230476520983615), (6669, 4.227347204380825)]"
45,46,"[(1172, 5), (1263, 5), (1287, 5), (1293, 5), (1953, 5), (3671, 5), (17, 5), (47, 5), (50, 5), (110, 5)]"
46,47,"[(5114, 4.776936952455457), (7116, 4.749216346042778), (1939, 4.740834068317385), (116, 4.734509229855548), (2924, 4.7299611242952935), (73290, 4.723216363660099), (8132, 4.717870314621669), (116897, 4.716425006518058), (858, 4.703652361587136), (3038, 4.7025847083817185)]"
47,48,"[(5114, 4.1470419397653355), (116, 4.133694507385825), (73290, 4.111744342743873), (1939, 4.110593790338045), (116897, 4.1092981944942855), (3038, 4.107808470253831), (7116, 4.100885835631204), (2924, 4.09256861315042), (3310, 4.076211884445793), (1948, 4.060061508233256)]"
48,49,"[(3038, 4.388566614255989), (116, 4.37144717256267), (73290, 4.352531165771827), (8132, 4.351904444021607), (5114, 4.326542724286734), (3030, 4.324096666306752), (116897, 4.3039963539129715), (1948, 4.3029255688633175), (858, 4.301171566344406), (3310, 4.292526439640431)]"
49,50,"[(5114, 4.2701498522774175), (73290, 4.256727590494644), (116, 4.253431149524548), (3038, 4.241683532014537), (1939, 4.237810720245558), (2924, 4.222417580005191), (7116, 4.2200904512811395), (8132, 4.217535876376117), (116897, 4.217194914647951), (858, 4.209438954429907)]"
50,51,"[(5114, 5), (116897, 4.959263579885175), (3038, 4.923803903573124), (8132, 4.915734030424579), (116, 4.900462121735136), (26587, 4.900456693604937), (3310, 4.890946273502448), (2924, 4.885816088966238), (858, 4.88047166184618), (905, 4.870280538242087)]"
51,52,"[(5114, 4.644119698062832), (73290, 4.585236191804581), (116, 4.539909579720152), (2924, 4.538823837789611), (1939, 4.527188812240054), (3038, 4.524939382565571), (8132, 4.513697659918406), (858, 4.511635772752331), (6669, 4.509048868144109), (3310, 4.5042700467443835)]"
52,53,"[(26729, 4.0043724847522135), (5114, 3.951330098161148), (3310, 3.949652712554779), (7116, 3.9375154451140886), (3038, 3.885502313203493), (1939, 3.8789944522354918), (2920, 3.864171259350889), (2924, 3.856332619130048), (8132, 3.8539241885228286), (80, 3.8534543252544604)]"
53,54,"[(8132, 4.49732396636497), (73290, 4.489775766742018), (116, 4.435660583719085), (3038, 4.432349096548415), (6669, 4.406810491870432), (3030, 4.398771749806639), (1948, 4.391517572566111), (5114, 4.391289501805544), (7802, 4.3908647689849225), (1939, 4.386805547733902)]"
54,55,"[(116, 4.688787245491109), (73290, 4.688556290668409), (2924, 4.682626202162473), (5114, 4.671246179021201), (1939, 4.655143208849499), (7116, 4.653547721679563), (8132, 4.643660244249848), (3038, 4.632048573730566), (858, 4.623454033702173), (3310, 4.616831696316221)]"
55,56,"[(5114, 4.429397577466302), (3038, 4.404760910766482), (73290, 4.380784705579967), (2924, 4.374495498967153), (116, 4.369238054544799), (1939, 4.36834605536697), (8132, 4.337406510965115), (3030, 4.3319941106886795), (858, 4.326637257270135), (7116, 4.3221231051538895)]"
56,57,"[(116, 4.642995504084442), (5114, 4.5952880258281885), (3038, 4.59524855206444), (1939, 4.5859464086795585), (8132, 4.5854378522418795), (3030, 4.58088429918481), (1948, 4.5734598271462055), (7116, 4.556305883346044), (73290, 4.534454931588627), (3310, 4.527177763185494)]"
57,58,"[(2924, 4.4341436270099415), (116, 4.4335242811069895), (2066, 4.410764622007584), (8132, 4.402959881583661), (3038, 4.40060591250203), (3030, 4.372476788677251), (116897, 4.3708552389130775), (73290, 4.357253142287566), (6273, 4.35665673484847), (5114, 4.352636359112997)]"
58,59,"[(5114, 3.883723074569564), (8132, 3.8484187488970756), (3038, 3.8464883636703617), (116, 3.8417224187983803), (1939, 3.821134298783783), (7116, 3.8172111342539257), (73290, 3.815149264394434), (2924, 3.813230946589711), (116897, 3.812901327351132), (3310, 3.7984255100811772)]"
59,60,"[(5114, 4.792694677894615), (116, 4.775698435875152), (1939, 4.754616124925203), (116897, 4.754427586286572), (73290, 4.753898775483308), (3038, 4.749744267491478), (2924, 4.7387263046251284), (8132, 4.716767551502515), (3310, 4.7161868287263955), (7116, 4.714032420481924)]"
60,61,"[(5114, 4.300523551023612), (116, 4.273375747123117), (3038, 4.26564210244915), (7116, 4.250820394633962), (1939, 4.246899571086242), (116897, 4.241575674204817), (8132, 4.237962126032666), (2924, 4.225108719236497), (73290, 4.224753676413043), (858, 4.214635494997778)]"
61,62,"[(116, 4.583760933351776), (73290, 4.571729291255434), (5114, 4.545684635492513), (8132, 4.54370577313175), (3038, 4.53424963389575), (1939, 4.527044304148681), (116897, 4.521810999047665), (858, 4.506570104954962), (3030, 4.5046492498416635), (26587, 4.485977266297929)]"
62,63,"[(3038, 4.629386551107492), (116897, 4.628714411109394), (5114, 4.620381600693476), (73290, 4.611893842115878), (8132, 4.603173595273953), (1939, 4.592741236574363), (116, 4.588222944174301), (7116, 4.574565300526064), (2924, 4.565603007385945), (858, 4.562632368502874)]"
63,64,"[(5114, 4.846987376925767), (1939, 4.79183222493521), (73290, 4.764214927638641), (7116, 4.754146829078866), (3038, 4.745061822916312), (116, 4.736106196311628), (3310, 4.733686972698403), (858, 4.722477641104431), (8132, 4.722319119119669), (2924, 4.713612080553304)]"
64,65,"[(5114, 4.653244711455039), (7116, 4.568423142389554), (1939, 4.554082184545836), (73290, 4.540354495536165), (116, 4.5401074823187635), (8132, 4.534220678406279), (3038, 4.53027779004112), (3310, 4.520511604368425), (26587, 4.492063071144878), (116897, 4.487196087724442)]"
65,66,"[(5114, 4.655722236730995), (116, 4.636952029531912), (3038, 4.619188986328441), (73290, 4.618953639226751), (1939, 4.615618083090781), (116897, 4.605516573415422), (7116, 4.605442641516844), (3310, 4.602879542140931), (8132, 4.5996916974472), (2924, 4.588739248010212)]"
66,67,"[(116, 4.638762125111972), (5114, 4.631426968240158), (1939, 4.61792045344685), (3038, 4.608369911621779), (116897, 4.5815450183199085), (8132, 4.57439756659408), (73290, 4.571235702955622), (7116, 4.563667872064072), (858, 4.562481589065766), (3310, 4.554493521528187)]"
67,68,"[(116, 4.370127906519241), (5114, 4.368720285338382), (73290, 4.341310285517539), (3038, 4.336258923749173), (1939, 4.32439336209457), (8132, 4.312900348262102), (2924, 4.306141946425611), (116897, 4.3051648919127485), (7116, 4.3042801238126644), (3310, 4.298922692345378)]"
68,69,"[(5114, 4.930147224395468), (116, 4.903619700054844), (3038, 4.898711227722326), (8132, 4.878112642091108), (73290, 4.858998400279966), (7116, 4.8554799072343915), (1939, 4.853940005850064), (2924, 4.844661877465686), (858, 4.833683318045359), (3310, 4.8265585351639855)]"
69,70,"[(1172, 5), (50, 5), (318, 5), (2318, 5), (858, 5), (913, 5), (2064, 5), (1221, 5), (7502, 5), (899, 5)]"
70,71,"[(5114, 4.967005758645146), (8132, 4.8418684966791155), (7116, 4.813365690509444), (3038, 4.808681343630115), (2924, 4.807739197476462), (1939, 4.804723192267154), (116, 4.796166875844574), (858, 4.79017804397093), (7802, 4.7720579590037735), (116897, 4.771189405500433)]"
71,72,"[(5114, 3.9524801803887994), (116, 3.933927635122973), (73290, 3.928256788801421), (1939, 3.920549061864873), (3038, 3.9080455264776384), (116897, 3.905348660447395), (8132, 3.8967351170769056), (2924, 3.892967393576268), (7116, 3.892443824107283), (3310, 3.8731565491609024)]"
72,73,"[(5114, 4.448427115199815), (116, 4.447450277804664), (3038, 4.416627244625604), (73290, 4.41014869297639), (116897, 4.406574524201891), (1939, 4.399385905888369), (7116, 4.389486089897266), (8132, 4.387547781156127), (3310, 4.3661181014789685), (3030, 4.344415074525526)]"
73,74,"[(116, 4.921892806922623), (3038, 4.888072373699014), (73290, 4.880446125893698), (8132, 4.8730736559442205), (7116, 4.865278743920139), (1939, 4.859436571215953), (5114, 4.849394134122016), (2924, 4.830935371112715), (1948, 4.82539520142387), (858, 4.823821382777431)]"
74,75,"[(116, 4.1947930550520525), (1939, 4.191193714786801), (5114, 4.181453691292546), (73290, 4.175732214190607), (7116, 4.1683967832934155), (8132, 4.158001460369576), (3038, 4.1557816258434315), (3030, 4.149201997359969), (116897, 4.147012353275535), (1948, 4.132519574953405)]"
75,76,"[(116, 4.4938829847422825), (5114, 4.471205494531555), (116897, 4.469199458534257), (3038, 4.46188442830608), (3030, 4.454999027024998), (7116, 4.447440227850597), (1939, 4.44594545182209), (8132, 4.417924620161543), (858, 4.4089288123581785), (73290, 4.4087105864882234)]"
76,77,"[(5114, 4.1993150488371525), (116, 4.1889021042143115), (73290, 4.167682208664636), (116897, 4.160180296260503), (1939, 4.1583494447768885), (7116, 4.142357675280944), (2924, 4.141932064320922), (8132, 4.137539170871638), (3038, 4.1370087885351765), (858, 4.1317500525527056)]"
77,78,"[(116897, 5), (7116, 5), (5114, 5), (3038, 5), (8132, 5), (2924, 5), (116, 5), (1939, 5), (73290, 5), (1948, 4.988489833394351)]"
78,79,"[(5114, 3.592401190468025), (3038, 3.560233703415111), (73290, 3.5519320163940047), (116, 3.5484692592210534), (8132, 3.538194502875869), (2924, 3.5314332263318655), (1939, 3.5280001603280455), (7116, 3.5207073309415553), (3310, 3.5136568844316782), (858, 3.512831965932852)]"
79,80,"[(116, 4.490968952405799), (5114, 4.471898846356093), (1939, 4.470646345463962), (8132, 4.469036718644667), (73290, 4.458377162581136), (2924, 4.457478966009431), (116897, 4.454451324472154), (858, 4.445457229042753), (7116, 4.445262243715608), (3038, 4.428136948433179)]"
80,81,"[(116, 4.525494069982962), (7116, 4.506520303514005), (1939, 4.50519631829372), (5114, 4.49944125146649), (3038, 4.487831761233583), (116897, 4.487745795154985), (2924, 4.486677332258566), (73290, 4.484199651960978), (3030, 4.476269015042011), (8132, 4.475693392961409)]"
81,82,"[(116, 4.512873313204055), (73290, 4.502040181173942), (5114, 4.491332408563466), (3038, 4.482268306578565), (1939, 4.473199572873921), (116897, 4.455310526489427), (8132, 4.452715271851622), (7116, 4.447226246617321), (2924, 4.441823061850242), (858, 4.438791616438322)]"
82,83,"[(73290, 4.600956027109815), (116, 4.559300050111089), (1939, 4.553934226870654), (116897, 4.532736129344575), (3038, 4.530881308860987), (8132, 4.513380707099255), (7116, 4.511862198685946), (858, 4.49899603759478), (2924, 4.498553881366662), (6669, 4.490999221810185)]"
83,84,"[(5114, 4.440956209486518), (73290, 4.432875466098228), (116, 4.432069708044163), (1939, 4.4217652729698464), (3038, 4.406185999758991), (7116, 4.404855343534442), (116897, 4.398518581293563), (8132, 4.39351789571427), (2924, 4.383282509443137), (858, 4.380418410802874)]"
84,85,"[(3030, 4.335128979828699), (116, 4.332459849922396), (7116, 4.324603910850511), (2924, 4.303130592965173), (1948, 4.285949913352698), (1939, 4.285606195412176), (8132, 4.283961770746729), (73290, 4.276464930758562), (26729, 4.270027302476226), (3310, 4.261386217134598)]"
85,86,"[(5114, 4.42175248365783), (73290, 4.380044868555314), (1939, 4.3700302446157515), (116897, 4.3675510665496775), (3038, 4.349062928349504), (858, 4.345883367330674), (7116, 4.34516410296811), (3310, 4.34234945684993), (2924, 4.33816043885143), (8132, 4.336067218267912)]"
86,87,"[(116, 4.237510305890117), (5114, 4.221926459724848), (1939, 4.1968083537788825), (3038, 4.186452793231365), (73290, 4.181690528409314), (116897, 4.176456228693333), (2924, 4.175667664880988), (8132, 4.141495459304718), (858, 4.132533301224584), (80, 4.123253481819749)]"
87,88,"[(5114, 4.264834596541063), (116, 4.253543072151576), (73290, 4.234821819589771), (3038, 4.226164743532429), (116897, 4.225437513575746), (1939, 4.221627048066591), (8132, 4.218919025071695), (2924, 4.216608879176125), (7116, 4.201531162446526), (858, 4.199795267613246)]"
88,89,"[(1172, 5), (50, 5), (2318, 5), (858, 5), (913, 5), (2064, 5), (1221, 5), (7502, 5), (899, 5), (904, 5)]"
89,90,"[(5114, 4.613012021951636), (73290, 4.600343285715487), (7116, 4.598479356129446), (116897, 4.592631920083417), (1939, 4.5907918219508606), (3038, 4.588996432552879), (116, 4.583817007653219), (2924, 4.558903567205736), (3310, 4.553536538377782), (858, 4.552451489867367)]"
90,91,"[(5114, 4.957460789362136), (116, 4.94664132012291), (3038, 4.9463531817894895), (73290, 4.9339670361047085), (1939, 4.9296899410629464), (8132, 4.917944564951952), (7116, 4.912781708790611), (2924, 4.902240362430229), (858, 4.893863635291542), (116897, 4.886238284135809)]"
91,92,"[(116, 4.173575745805529), (5114, 4.171829515939932), (73290, 4.149317598556792), (1939, 4.1426399092945285), (116897, 4.13377446088276), (3038, 4.132024144507797), (8132, 4.126241799328377), (7116, 4.119174747962886), (2924, 4.118844055453), (858, 4.11664863780549)]"
92,93,"[(5114, 4.512576557765444), (116, 4.497650892310701), (3038, 4.48033023723863), (73290, 4.471893738701082), (1939, 4.470752686945766), (116897, 4.456197847189491), (8132, 4.455502532385688), (7116, 4.450637359148544), (2924, 4.445079659763669), (3310, 4.43441776379141)]"
93,94,"[(5114, 4.20312294983876), (116, 4.1841030451274), (73290, 4.177095974585334), (1939, 4.154164971617927), (3038, 4.1494507938767695), (2924, 4.147463882781491), (7116, 4.1391441680678485), (116897, 4.127330329835034), (3310, 4.123415759219883), (1948, 4.10477197793809)]"
94,95,"[(116, 4.826137611941952), (73290, 4.815273985804617), (5114, 4.812599734536954), (3038, 4.804779445874424), (1939, 4.793767870533079), (7116, 4.783291227449478), (8132, 4.778115749154524), (858, 4.75678096903522), (2924, 4.753468874704183), (116897, 4.751434097905059)]"
95,96,"[(73290, 4.554749346312908), (116, 4.554736679773483), (3038, 4.551559882509413), (1939, 4.538950188429124), (116897, 4.5275385408609825), (8132, 4.526866791776867), (2924, 4.522507721500576), (858, 4.508495449763926), (3030, 4.498284670447395), (1948, 4.48716292715345)]"
96,97,"[(1939, 3.7794857564340623), (73290, 3.764813656154603), (116897, 3.762933432836543), (116, 3.7584669807956983), (5114, 3.7473632198027), (3038, 3.719847642678174), (3310, 3.7049331527268823), (8132, 3.7005144136970207), (7116, 3.6956981128472743), (6669, 3.68956648285962)]"
97,98,"[(116897, 5), (5114, 5), (73290, 5), (116, 4.998869863473933), (309, 4.983655840726307), (8132, 4.980219702379899), (858, 4.977533113826682), (3310, 4.977392543413583), (3038, 4.975049535469869), (2924, 4.964713024544991)]"
98,99,"[(73290, 4.270750013294773), (116, 4.249515230577126), (5114, 4.240080536180021), (3038, 4.212205761832772), (7116, 4.21160759126796), (1939, 4.210590045429547), (3310, 4.206445827979839), (8132, 4.203098889177637), (3030, 4.200262205114695), (858, 4.19254818011286)]"
99,100,"[(116, 4.334859152279863), (116897, 4.320674113101923), (5114, 4.3188886564432245), (1939, 4.297118737290378), (73290, 4.293871891500833), (3038, 4.280552906387952), (8132, 4.274939845373494), (7116, 4.274384547778755), (2924, 4.267486950163743), (858, 4.264908520794505)]"
100,101,"[(116, 4.6260000546301905), (5114, 4.6046732056718795), (3038, 4.581639966680896), (73290, 4.580026494087999), (116897, 4.576787458912583), (7116, 4.5718904742791295), (1939, 4.571107604764259), (8132, 4.568910841111748), (2924, 4.567065996392612), (858, 4.556591317620628)]"
101,102,"[(116, 4.609176789058601), (5114, 4.59441346256802), (73290, 4.578130594102796), (7116, 4.577810895773491), (116897, 4.57395397499257), (3038, 4.572189734238591), (8132, 4.560721048659713), (2924, 4.547732643066352), (3310, 4.545283685726574), (3030, 4.545177826590077)]"
